week,sessions,orders,sales,cvr,aov,add_to_cart_rate,checkout_rate,purchase_rate,cpa,roas,repeat_rate,memo
2023-W34,2772,8,148412,0.0029,18551,0.105,0.0653,0.4211,,,,GA4自動取得
2023-W35,2794,18,269784,0.0064,14988,0.1478,0.1308,0.3333,,,,GA4自動取得
2023-W36,3009,17,240711,0.0056,14159,0.1243,0.1925,0.2361,,,,GA4自動取得
2023-W37,3059,20,241366,0.0065,12068,0.0994,0.1414,0.4651,,,,GA4自動取得
2023-W38,3220,24,396743,0.0075,16530,0.145,0.1456,0.3529,,,,GA4自動取得
2023-W39,3421,19,323153,0.0056,17008,0.093,0.1447,0.413,,,,GA4自動取得
2023-W40,3889,21,290785,0.0054,13846,0.0717,0.129,0.5833,,,,GA4自動取得
2023-W41,3766,33,622957,0.0088,18877,0.0975,0.1853,0.4853,,,,GA4自動取得
2023-W42,3703,27,501245,0.0073,18564,0.098,0.1405,0.5294,,,,GA4自動取得
2023-W43,3853,28,418027,0.0073,14929,0.0825,0.1698,0.5185,,,,GA4自動取得
2023-W44,4474,26,626862,0.0058,24110,0.1001,0.2054,0.2826,,,,GA4自動取得
2023-W45,3337,32,654061,0.0096,20439,0.154,0.1226,0.5079,,,,GA4自動取得
2023-W46,3373,16,284792,0.0047,17799,0.0584,0.198,0.4103,,,,GA4自動取得
2023-W47,4015,24,488840,0.006,20368,0.0416,0.2695,0.5333,,,,GA4自動取得
2023-W48,3784,29,651117,0.0077,22452,0.0351,0.4286,0.5088,,,,GA4自動取得
2023-W49,3353,19,410604,0.0057,21610,0.0328,0.3909,0.4419,,,,GA4自動取得
2023-W50,3353,28,662812,0.0084,23671,0.0504,0.3254,0.5091,,,,GA4自動取得
2023-W51,5583,161,1727061,0.0288,10727,0.1098,0.5318,0.4939,,,,GA4自動取得
2023-W52,4129,24,308496,0.0058,12854,0.0308,0.3386,0.5581,,,,GA4自動取得
2024-W01,5256,30,595451,0.0057,19848,0.0297,0.5833,0.3297,,,,GA4自動取得
2024-W02,3501,13,250047,0.0037,19234,0.0203,0.3803,0.4815,,,,GA4自動取得
2024-W03,4384,21,359065,0.0048,17098,0.0212,0.3656,0.6176,,,,GA4自動取得
2024-W04,4205,15,284826,0.0036,18988,0.0185,0.4872,0.3947,,,,GA4自動取得
2024-W05,3926,14,274165,0.0036,19583,0.0115,0.6444,0.4828,,,,GA4自動取得
2024-W06,3846,22,399635,0.0057,18165,0.0187,0.5556,0.55,,,,GA4自動取得
2024-W07,3955,15,258517,0.0038,17234,0.0228,0.3444,0.4839,,,,GA4自動取得
2024-W08,6201,24,582460,0.0039,24269,0.0205,0.4094,0.4615,,,,GA4自動取得
2024-W09,6995,18,352855,0.0026,19603,0.0127,0.5281,0.383,,,,GA4自動取得
2024-W10,14250,17,420860,0.0012,24756,0.0066,0.3511,0.5152,,,,GA4自動取得
2024-W11,11531,20,494945,0.0017,24747,0.0111,0.5234,0.2985,,,,GA4自動取得
2024-W12,8725,22,404250,0.0025,18375,0.0142,0.3548,0.5,,,,GA4自動取得
2024-W13,14503,24,498988,0.0017,20791,0.0086,0.328,0.5854,,,,GA4自動取得
2024-W14,6864,51,1260821,0.0074,24721,0.0325,0.3812,0.6,,,,GA4自動取得
2024-W15,5532,32,701664,0.0058,21927,0.0305,0.3905,0.4848,,,,GA4自動取得
2024-W16,7667,57,1275728,0.0074,22381,0.0329,0.4087,0.5534,,,,GA4自動取得
2024-W17,9216,40,890753,0.0043,22268,0.0197,0.3187,0.6897,,,,GA4自動取得
2024-W18,10869,56,1242507,0.0052,22187,0.0262,0.3228,0.6087,,,,GA4自動取得
2024-W19,7999,59,951944,0.0074,16134,0.0365,0.411,0.4917,,,,GA4自動取得
2024-W20,5560,47,687115,0.0085,14619,0.039,0.553,0.3917,,,,GA4自動取得
2024-W21,5716,42,887756,0.0073,21137,0.0299,0.5673,0.433,,,,GA4自動取得
2024-W22,5141,48,930216,0.0093,19379,0.041,0.3934,0.5783,,,,GA4自動取得
2024-W23,5573,42,937888,0.0075,22330,0.0321,0.3799,0.6176,,,,GA4自動取得
2024-W24,6097,42,724443,0.0069,17248,0.0418,0.3333,0.4941,,,,GA4自動取得
2024-W25,7167,39,750365,0.0054,19240,0.0333,0.3473,0.4699,,,,GA4自動取得
2024-W26,6851,46,851896,0.0067,18519,0.0342,0.3675,0.5349,,,,GA4自動取得
2024-W27,7507,64,1101926,0.0085,17217,0.0313,0.4809,0.5664,,,,GA4自動取得
2024-W28,8003,63,1168779,0.0079,18552,0.0247,0.5808,0.5478,,,,GA4自動取得
2024-W29,5855,40,793706,0.0068,19842,0.0359,0.3143,0.6061,,,,GA4自動取得
2024-W30,6897,43,830500,0.0062,19313,0.0319,0.4,0.4886,,,,GA4自動取得
2024-W31,5533,34,714945,0.0061,21027,0.0336,0.328,0.5574,,,,GA4自動取得
2024-W32,5652,41,709720,0.0073,17310,0.0357,0.4554,0.4457,,,,GA4自動取得
2024-W33,6810,38,809985,0.0056,21315,0.031,0.346,0.5205,,,,GA4自動取得
2024-W34,7925,42,872465,0.0053,20772,0.0207,0.4329,0.5915,,,,GA4自動取得
2024-W35,5368,27,454717,0.005,16841,0.0229,0.3659,0.6,,,,GA4自動取得
2024-W36,4080,26,595623,0.0064,22908,0.0365,0.4295,0.4062,,,,GA4自動取得
2024-W37,5129,28,540788,0.0055,19313,0.0246,0.4524,0.4912,,,,GA4自動取得
2024-W38,5270,24,568480,0.0046,23686,0.023,0.3884,0.5106,,,,GA4自動取得
2024-W39,5253,21,487107,0.004,23195,0.0255,0.3209,0.4884,,,,GA4自動取得
2024-W40,6238,29,698087,0.0046,24071,0.0284,0.3051,0.537,,,,GA4自動取得
2024-W41,6521,36,960740,0.0055,26687,0.0278,0.3425,0.5806,,,,GA4自動取得
2024-W42,6036,37,880385,0.0061,23794,0.0298,0.3278,0.6271,,,,GA4自動取得
2024-W43,4954,33,971218,0.0067,29430,0.0311,0.3896,0.55,,,,GA4自動取得
2024-W44,5306,31,663630,0.0058,21407,0.0322,0.345,0.5254,,,,GA4自動取得
2024-W45,5374,43,925733,0.008,21528,0.0352,0.4497,0.5059,,,,GA4自動取得
2024-W46,5791,32,706365,0.0055,22073,0.0237,0.4818,0.4848,,,,GA4自動取得
2024-W47,5851,33,773548,0.0056,23440,0.0219,0.3906,0.66,,,,GA4自動取得
2024-W48,6037,31,869661,0.0051,28053,0.0268,0.3951,0.4844,,,,GA4自動取得
2024-W49,5753,44,1211294,0.0076,27529,0.0389,0.3125,0.6286,,,,GA4自動取得
2024-W50,7137,135,2379196,0.0189,17623,0.0645,0.5543,0.5294,,,,GA4自動取得
2024-W51,6545,65,1510357,0.0099,23236,0.0486,0.456,0.4483,,,,GA4自動取得
2024-W52,5168,34,825440,0.0066,24277,0.03,0.3742,0.5862,,,,GA4自動取得
2025-W01,7597,32,745825,0.0042,23307,0.0246,0.3797,0.4507,,,,GA4自動取得
2025-W02,4615,30,751850,0.0065,25061,0.0267,0.4553,0.5357,,,,GA4自動取得
2025-W03,4942,30,745257,0.0061,24841,0.0283,0.3714,0.5769,,,,GA4自動取得
2025-W04,4691,23,689837,0.0049,29992,0.0362,0.3353,0.4035,,,,GA4自動取得
2025-W05,5097,22,482157,0.0043,21916,0.0271,0.2826,0.5641,,,,GA4自動取得
2025-W06,5271,24,438880,0.0046,18286,0.0233,0.4878,0.4,,,,GA4自動取得
2025-W07,5226,25,573127,0.0048,22925,0.023,0.2833,0.7353,,,,GA4自動取得
2025-W08,7492,20,503525,0.0027,25176,0.0147,0.3545,0.5128,,,,GA4自動取得
2025-W09,5481,28,625670,0.0051,22345,0.0261,0.3566,0.549,,,,GA4自動取得
2025-W10,6506,28,613817,0.0043,21922,0.0254,0.3515,0.4828,,,,GA4自動取得
2025-W11,6327,38,819656,0.006,21569,0.0307,0.4845,0.4043,,,,GA4自動取得
2025-W12,7460,52,932324,0.007,17929,0.032,0.3975,0.5474,,,,GA4自動取得
2025-W13,8108,96,2040537,0.0118,21255,0.0714,0.3368,0.4923,,,,GA4自動取得
2025-W14,8728,115,2490054,0.0132,21652,0.0479,0.6005,0.4582,,,,GA4自動取得
2025-W15,7266,38,888910,0.0052,23392,0.0267,0.3557,0.5507,,,,GA4自動取得
2025-W16,7061,45,938547,0.0064,20856,0.0319,0.3733,0.5357,,,,GA4自動取得
2025-W17,7729,55,1244347,0.0071,22624,0.0388,0.3467,0.5288,,,,GA4自動取得
2025-W18,8789,80,1350389,0.0091,16879,0.0393,0.4377,0.5298,,,,GA4自動取得
2025-W19,4926,40,645948,0.0081,16148,0.0323,0.3082,0.8163,,,,GA4自動取得
2025-W20,6631,0,0,0.0,0,0.0002,3.0,0.0,,,,GA4自動取得
2025-W21,6875,26,571637,0.0038,21986,0.0367,0.4484,0.2301,,,,GA4自動取得
2025-W22,7418,22,487058,0.003,22139,0.0458,0.3206,0.2018,,,,GA4自動取得
2025-W23,8829,29,569271,0.0033,19630,0.0427,0.3581,0.2148,,,,GA4自動取得
2025-W24,8243,45,790008,0.0055,17555,0.0568,0.3205,0.3,,,,GA4自動取得
2025-W25,9421,69,1543805,0.0073,22373,0.0528,0.4044,0.3433,,,,GA4自動取得
2025-W26,10288,86,1813141,0.0084,21083,0.0516,0.4275,0.3789,,,,GA4自動取得
2025-W27,8006,117,2976369,0.0146,25439,0.0818,0.4061,0.4398,,,,GA4自動取得
2025-W28,6562,49,800690,0.0075,16340,0.055,0.3075,0.4414,,,,GA4自動取得
2025-W29,6367,54,1018159,0.0085,18854,0.0223,1.0352,0.3673,,,,GA4自動取得
2025-W30,7932,58,945120,0.0073,16295,0.0368,0.4897,0.4056,,,,GA4自動取得
2025-W31,6645,45,814989,0.0068,18110,0.0391,0.3885,0.4455,,,,GA4自動取得
2025-W32,6952,41,688160,0.0059,16784,0.0378,0.3042,0.5125,,,,GA4自動取得
2025-W33,7521,47,812130,0.0062,17279,0.0423,0.2925,0.5054,,,,GA4自動取得
2025-W34,6760,47,967669,0.007,20588,0.0396,0.3881,0.4519,,,,GA4自動取得
2025-W35,6643,33,662950,0.005,20089,0.0312,0.43,0.3708,,,,GA4自動取得
2025-W36,6110,52,1138270,0.0085,21889,0.0465,0.338,0.5417,,,,GA4自動取得
2025-W37,7091,27,449120,0.0038,16634,0.032,0.2467,0.4821,,,,GA4自動取得
2025-W38,7613,43,994179,0.0056,23120,0.0373,0.3451,0.4388,,,,GA4自動取得
2025-W39,7571,36,846440,0.0048,23512,0.0439,0.25,0.4337,,,,GA4自動取得
2025-W40,6467,40,1020250,0.0062,25506,0.0399,0.4884,0.3175,,,,GA4自動取得
2025-W41,9494,50,1052580,0.0053,21051,0.0327,0.3323,0.4854,,,,GA4自動取得
2025-W42,8456,54,1180060,0.0064,21852,0.0492,0.2308,0.5625,,,,GA4自動取得
2025-W43,8675,53,1668029,0.0061,31472,0.0405,0.3761,0.4015,,,,GA4自動取得
2025-W44,8318,53,1271929,0.0064,23998,0.0417,0.3487,0.438,,,,GA4自動取得
2025-W45,7555,44,1047750,0.0058,23812,0.04,0.351,0.4151,,,,GA4自動取得
2025-W46,7975,63,1723039,0.0079,27349,0.0459,0.3852,0.4468,,,,GA4自動取得
2025-W47,7896,43,1079099,0.0054,25095,0.0334,0.4394,0.3707,,,,GA4自動取得
2025-W48,8054,68,1500729,0.0084,22069,0.049,0.362,0.4755,,,,GA4自動取得
2025-W49,7353,52,1045200,0.0071,20100,0.0366,0.3606,0.5361,,,,GA4自動取得
2025-W50,9204,47,1038949,0.0051,22105,0.0355,0.4098,0.3507,,,,GA4自動取得
2025-W51,10043,173,2770779,0.0172,16016,0.07,0.4865,0.5058,,,,GA4自動取得
2025-W52,8337,35,956779,0.0042,27336,0.027,0.4222,0.3684,,,,GA4自動取得
2026-W01,9573,39,876919,0.0041,22485,0.0229,0.3562,0.5,,,,GA4自動取得
2026-W02,9762,36,817510,0.0037,22708,0.0228,0.4081,0.3956,,,,GA4自動取得
2026-W03,8374,45,902549,0.0054,20056,0.0295,0.3765,0.4839,,,,GA4自動取得
2026-W04,8277,29,781000,0.0035,26931,0.0172,0.4225,0.4833,,,,GA4自動取得
2026-W05,8083,27,440110,0.0033,16300,0.0186,0.3533,0.5094,,,,GA4自動取得
2026-W06,7869,21,480480,0.0027,22880,0.0125,0.4796,0.4468,,,,GA4自動取得
2026-W07,6561,25,455069,0.0038,18202,0.0181,0.5462,0.3846,,,,GA4自動取得
2026-W08,7434,27,705869,0.0036,26143,0.0188,0.3857,0.5,,,,GA4自動取得
2026-W09,5148,23,438130,0.0045,19049,0.0249,0.6172,0.2911,,,,GA4自動取得
2026-W10,8354,20,505449,0.0024,25272,0.0181,0.3841,0.3448,,,,GA4自動取得
2026-W11,6963,47,1189430,0.0067,25307,0.0307,0.5093,0.4312,,,,GA4自動取得
2026-W12,7749,35,610060,0.0045,17430,0.023,0.4101,0.4795,,,,GA4自動取得
2026-W13,10515,38,594880,0.0036,15654,0.019,0.31,0.6129,,,,GA4自動取得
2026-W14,8172,41,976910,0.005,23827,0.0297,0.3292,0.5125,,,,GA4自動取得
2026-W15,8371,42,846120,0.005,20145,0.0309,0.3012,0.5385,,,,GA4自動取得
2026-W16,9240,35,643939,0.0038,18398,0.0222,0.3073,0.5556,,,,GA4自動取得
2026-W17,7754,43,844470,0.0055,19638,0.0279,0.3333,0.5972,,,,GA4自動取得
2026-W18,7327,26,467499,0.0035,17980,0.0218,0.275,0.5909,,,,GA4自動取得
2026-W19,9054,44,838420,0.0049,19055,0.0256,0.4138,0.4583,,,,GA4自動取得（BQ復元 2026-05-26）
2026-W20,6614,55,1303390,0.0083,23698,0.0491,0.2862,0.5914,,,,GA4自動取得
2026-W21,9340,46,952820,0.0049,20713,0.0275,0.3191,0.561,,,,GA4自動取得（BQ復元 2026-05-26）
